78,95,1736,3012,00008,r6k/pp2r2p/4Rp1Q/3p4/8/1N1P2R1/PqP2bPP/7K b - - 0 24,f2g3 e6e7 b2b1 b3c1 b1c1 h6c1,crushing hangingPiece long middlegame,https://lichess.org/787zsVup/black#48,
75,96,1425,13874,qXKST,6r1/1p1b4/p7/3pk3/3N2p1/3KP3/PPP4r/5RR1 b - - 1 34,g4g3 d4f3 e5d6 f3h2,advantage endgame fork short,https://lichess.org/rkbJ9PUU/black#68,
78,82,1394,57,FLRtv,r1bqkbr1/2p2p2/pp1p3p/3Pp2Q/P1P1Pp2/2N2NP1/1P3P1P/R4R1K w q - 3 18,g3f4 c8g4 h5g4 g8g4,crushing middlegame short,https://lichess.org/62DFyQLg#35,Rat_Defense
217,88,1442,24,RDBwI,2r3k1/p2R4/1b2p3/1p2P3/4KP2/1P5b/P4R1P/8 w - - 6 39,f2f3 h3f5,endgame mate mateIn1 oneMove,https://lichess.org/lqj2nFUQ#77,
77,87,1823,45,GWR8t,3r2k1/p1r1bppb/1qp1p2p/2pp4/Q2PnBP1/1PPNPN1P/P4P2/R1R3K1 b - - 4 17,b6b5 a4b5 c6b5 f4c7,advantage middlegame short,https://lichess.org/99Zw41eE/black#34,Queens_Pawn_Game
76,91,2021,569,NfVIB,b3r1k1/3p4/3P2q1/8/2N4Q/1P5p/P5P1/3R2K1 w - - 0 38,h4h3 e8e2 d1d2 a8g2,advantage endgame short,https://lichess.org/toMxTXAh#75,
77,79,1012,87,NAJFW,k4r2/p2Q2pp/1p1B4/3pP3/P1rq4/8/2P3PP/R6K w - - 0 31,d6f8 d4a1,backRankMate endgame hangingPiece mate mateIn1 oneMove,https://lichess.org/RvmSGAgI#61,
75,93,1573,1969,H2u8P,r1bq1b1r/ppp1k1pn/4B2p/4P3/8/4B3/PPP3PP/RN1Q1RK1 b - - 0 12,c8e6 e3c5 e7e8 d1h5,advantage opening short,https://lichess.org/6pKjKnLi/black#24,Kings_Gambit_Declined
80,96,923,231,NcfYk,8/1p3Qbk/2p3pp/p3B3/P1P3Pn/1r5K/5P2/8 w - - 0 39,h3h4 g6g5 h4h5 b3h3,endgame mate mateIn2 short,https://lichess.org/UyHooWsV#77,
76,96,2307,350,Eklb6,3r2k1/1p3pp1/p3b1np/3P4/1b2P1nP/1q1B1N2/1P2QPP1/R4RK1 b - - 4 22,e6c8 f3d4 g6f4 d4b3 f4e2 d3e2,crushing long middlegame trappedPiece,https://lichess.org/LCs9dLjf/black#44,
